time	value
3.632534537652934e-001	-7.247907e+001
3.669459382663565e-001	-8.666073e+001
3.695162894732965e-001	-9.367676e+001
3.713969352689026e-001	-9.716166e+001
3.729858533664171e-001	-9.896284e+001
3.745137098604866e-001	-9.968140e+001
3.763192074269633e-001	-9.924426e+001
3.786471410909919e-001	-9.655088e+001
3.824187039370571e-001	-8.740234e+001
3.884130374506803e-001	-6.332362e+001
3.973779021522196e-001	-1.517663e+001
4.074067670498451e-001	4.278463e+001
4.132534538783511e-001	7.247907e+001
4.169459383423217e-001	8.666073e+001
4.195162895278859e-001	9.367676e+001
4.213969353094871e-001	9.716166e+001
4.229858534168879e-001	9.896284e+001
4.245137098717482e-001	9.968140e+001
4.263192074311523e-001	9.924426e+001
4.286471410978039e-001	9.655088e+001
4.324187039480374e-001	8.740233e+001
4.384130374678238e-001	6.332361e+001
4.473779021765304e-001	1.517663e+001
4.574067670653591e-001	-4.278463e+001
4.632534538875617e-001	-7.247907e+001
4.669459383485104e-001	-8.666073e+001
4.695162895323332e-001	-9.367676e+001
4.713969353127934e-001	-9.716166e+001
4.729858534209997e-001	-9.896284e+001
4.745137098726657e-001	-9.968140e+001
4.763192074314936e-001	-9.924426e+001
4.786471410983589e-001	-9.655088e+001
4.824187039489320e-001	-8.740233e+001
4.884130374692204e-001	-6.332361e+001
4.973779021785110e-001	-1.517663e+001
5.074067670666230e-001	4.278463e+001
5.132534538883120e-001	7.247907e+001
5.169459383490146e-001	8.666073e+001
5.195162895326956e-001	9.367676e+001
5.213969353130628e-001	9.716166e+001
5.229858534213348e-001	9.896284e+001
5.245137098727404e-001	9.968140e+001
5.263192074315214e-001	9.924426e+001
5.286471410984041e-001	9.655088e+001
5.324187039490048e-001	8.740233e+001
5.384130374693341e-001	6.332361e+001
5.473779021786721e-001	1.517663e+001
5.574067670667259e-001	-4.278463e+001
5.632534538883731e-001	-7.247907e+001
5.669459383490556e-001	-8.666073e+001
5.695162895327250e-001	-9.367676e+001
5.713969353130847e-001	-9.716166e+001
